geo\time,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Romania,33,,36.9,,40.5,,47.6,,48.5,,48.1,,49.1,,50.5,,50.9,,51.7,,53.7,,57.2,,59.8,,62.1,(p)
Slovenia,83.7,,84.7,,85.1,,84.9,,79.6,,79.1,,80.9,,80.7,,79.8,,79.2,,78.2,,80,,82.2,,83.5,
Slovakia,66.9,,69.4,,72.3,,75.2,,74.2,,77.8,,76.2,,76.8,,77.7,,78.3,,77.9,,76.8,,76.2,,77.2,
Finland,115.4,,114.5,,118.4,,118.7,,115.9,,114.9,,114.5,,111.4,,110,,109.4,,109.5,,110.1,,110.9,,110,
Sweden,122,,124,,125.5,,123.9,,121.5,,120.7,,119.7,,119.4,,116.8,,116,,117.5,,113.6,,113.3,,113.7,
United Kingdom,113.2,,112.7,,110.1,,110.2,,106.7,,107.6,,104.5,,103.3,,101.9,,101,,101.8,,99.7,,98.8,,98.2,
Iceland,:,,:,,:,,113,(p),125,(p),115.3,(p),111.8,(p),111.3,(p),110.4,(p),111.3,(p),114.3,(p),116.5,(p),115.9,(p),118.5,(p)
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,187.6,,194.9,,186.3,,193.7,,176.7,,179.1,,182.3,,185.7,,183.3,,176.4,,158.6,,148,,152.4,,156.3,
Switzerland,119.2,,122.8,,128.1,,129.3,,127.3,(e),128.3,,128.2,,128.7,,129.3,,130.2,,129.8,,126.5,,126.1,,127.3,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Turkey,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
